college_name,alias,abbreviation,transcripts,mid_year,letter_of_rec_required,letter_of_rec_total,people_for_letters,sat,sat_essay,act_essay,self_report,subject_tests,essays,supplemental_essays,acceptance_rate,population,national_ranking,tuition_normal,tuition_oos,early_decision,early_action,regular_decision,scholarship_date,interview,app_fee,app_site,common_app,coalition_app,college_logo,school_type,state,college_description,college_campus
"University of California, San Diego",UC San Diego,UCSD,Not Required,Not Required,0,0,,Required,Required,Required,Not Allowed,Recommended,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,32.3,30794,37,14451,44205,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://act.ucsd.edu/softball/static/img/ucsdtritons-logo.png,Public,CA,"The University of California, San Diego (UC San Diego or, colloquially, UCSD) is a public research university in San Diego, California. UCSD is considered one of the country's Public Ivies. As of August 2018, UC San Diego faculty, researchers and alumni have won 27 Nobel Prizes and three Fields Medals, eight National Medals of Science, eight MacArthur Fellowships, and three Pulitzer Prizes.",https://i.ibb.co/8M6pPH3/0UCSD.jpg
"University of California, Berkeley",UC Berkeley,UCB,Not Required,Not Required,0,0,,Required,Required,Required,Not Allowed,Recommended,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,16.4,31348,22,14254,44008,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://seeklogo.com/images/U/university-of-california-berkeley-athletic-logo-815CB73082-seeklogo.com.png,Public,CA,"The University of California, Berkeley (UC Berkeley, Berkeley, Cal, or California) is a public research university in Berkeley, California. Founded in 1868, it is the oldest and flagship campus of the University of California system and has been ranked by numerous major education publications as among the top 10 universities in the world.As of October 2019, Berkeley alumni, faculty members and researchers include 107 Nobel laureates, the third most of any university worldwide, as well as 25 Turing Award winners and 14 Fields Medalists.",https://i.ibb.co/DW5Zmjj/1UCB.jpg
"University of California, Los Angeles",UC Los Angeles,UCLA,Not Required,Not Required,0,0,,Required,Required,Required,Not Allowed,Recommended,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,12.4,31577,20,13239,42993,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/UCLA_Bruins_script.svg/1200px-UCLA_Bruins_script.svg.png,Public,CA,"The University of California, Los Angeles (UCLA) is a public research university in Los Angeles. The university is organized into six undergraduate colleges, seven professional schools, and four professional health science schools.The undergraduate colleges are the College of Letters and Science; Samueli School of Engineering; School of the Arts and Architecture; Herb Alpert School of Music; School of Theater, Film and Television; and School of Nursing. It offers 337 undergraduate and graduate degree programs in a wide range of disciplines.",https://i.ibb.co/SxtyV5v/2UCLA.jpg
"University of California, Santa Barbara",UC Santa Barbara,UCSB,Not Required,Not Required,0,0,,Required,Required,Required,Not Allowed,Recommended,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,29.7,23349,34,12570,42234,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/UC_Santa_Barbara_Gauchos_logo.svg/1200px-UC_Santa_Barbara_Gauchos_logo.svg.png,Public,CA,"The University of California, Santa Barbara (UC Santa Barbara or UCSB) is a public research university in Santa Barbara, California. It is one of the 10 campuses of the University of California system. Tracing its roots back to 1891 as an independent teachers' college, UCSB joined the University of California system in 1944 and is the third-oldest general-education campus in the system. UC Santa Barbara is a research university with 10 national research centers,including the Kavli Institute for Theoretical Physics and the Center for Control, Dynamical-Systems and Computation.",https://i.ibb.co/jb8yXfJ/3UCSB.jpg
"University of California, Santa Cruz",UC Santa Cruz,UCSC,Not Required,Not Required,0,0,,Required,Required,Required,Not Allowed,Recommended,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,51.5,17517,84,13989,43743,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://shop.ucsc.edu/students-in-recovery/images/fiat-slug.jpg,Public,CA,"The University of California, Santa Cruz (UC Santa Cruz or UCSC) is a public research university in Santa Cruz, California. It is one of 10 campuses in the University of California system. Located 75 miles (120 km) south of San Francisco at the edge of the coastal community of Santa Cruz, the campus lies on 2,001 acres (810 ha) of rolling, forested hills overlooking the Pacific Ocean and Monterey Bay.
",https://i.ibb.co/nDNRYHq/4UCSC.jpg
"University of California, Davis",UC Davis,UCD,Not Required,Not Required,0,0,,Required,Required,Required,Not Allowed,Recommended,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,39.1,30982,39,14490,44244,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/UC_Davis_Aggies_logo.svg/1200px-UC_Davis_Aggies_logo.svg.png,Public,CA,"The University of California, Davis (UC Davis), is a public research university and land-grant university adjacent to Davis, California.The institution was founded as a branch in 1905 and became its own separate entity in 1959. The UC Davis faculty includes 23 members of the National Academy of Sciences, 30 members of the American Academy of Arts and Sciences, 17 members of the American Law Institute, 14 members of the Institute of Medicine, and 14 members of the National Academy of Engineering.",https://i.ibb.co/LJ2Lhsy/5UCD.jpg
"University of California, Riverside",UC Riverside,UCR,Not Required,Not Required,0,0,,Required,Required,Required,Not Allowed,Recommended,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,56.3,22055,91,11442,41196,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://sportslogohistory.com/wp-content/uploads/2019/03/uc_riverside_highlanders_2012_a.png,Public,CA,"The University of California, Riverside (UCR or UC Riverside) is a public research university in Riverside, California. It is one of the 10 general campuses of the University of California system. The main campus sits on 1,900 acres (769 ha) in a suburban district of Riverside with a branch campus of 20 acres (8 ha) in Palm Desert. In 1907, the predecessor to UCR was founded as the UC Citrus Experiment Station, Riverside which pioneered research in biological pest control and the use of growth regulators responsible for extending the citrus growing season in California from four to nine months.",https://i.ibb.co/MhQf5hr/6UCR.jpg
"University of California, Merced",UC Merced,UCM,Not Required,Not Required,0,0,,Required,Required,Required,Not Allowed,Recommended,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,72.6,8151,104,13538,43292,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://marketing.ucmerced.edu/sites/marketing.ucmerced.edu/files/images/campus-recreation-logo-rad_900h.png,Public,CA,"The University of California, Merced (UC Merced) is a public research university in Merced, California and is the tenth and newest of the University of California campuses.Established in 2005, UC Merced is classified as ""R2: doctoral universities with high research activity"". UC Merced enrolls 8,847 undergraduates and 696 graduates with 63.8% of students receiving Pell Grants, and more than 99% of UC Merced students coming from California.",https://i.ibb.co/30x0FCt/7UCM.jpg
"University of California, Irvine",UC Irvine,UCI,Not Required,Not Required,0,0,,Required,Required,Required,Not Allowed,Recommended,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,26.6,30382,36,12570,42234,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://i.pinimg.com/originals/7f/f1/d4/7ff1d41f7236c812359dbd0bc38fcc3b.png,Public,CA,"The University of California, Irvine (UCI or UC Irvine) is a public research university in Irvine, California. It is one of the 10 campuses in the University of California (UC) system. UC Irvine offers 87 undergraduate degrees and 129 graduate and professional degrees. The university is classified as a Research I university and in 2017 had $361 million in research and development expenditures, according to the National Science Foundation. UC Irvine became a member of the Association of American Universities in 1996 and is the youngest university to hold membership.",https://i.ibb.co/xh0xhwy/8UCI.jpg
San Diego State University,San Diego State,SDSU,Not Required,Not Required,0,0,,Required,Optional,Optional,Not Allowed,Optional,none,,34,30393,147,7488,19340,-1,-1,1606694460,-1,none,70,Cal State Apply,n,n,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F7%2F7c%2FSan_Diego_State_Aztecs_logo.svg%2F1200px-San_Diego_State_Aztecs_logo.svg.png&f=1&nofb=1,Public,CA,"San Diego State University (SDSU) is a public research university in San Diego, California. Founded in 1897 as San Diego Normal School, it is the third-oldest university in the 23-member California State University (CSU) system. SDSU has a Fall 2019 student body of 35,081 and an alumni base of more than 300000.Itt is classified among ""Doctoral Universities: High Research Activity.""",https://i.ibb.co/d4ftRzc/9SDSU.jpg
New York University,NYU,NYU,Required,Required,1,2,Teacher,Required,Optional,Optional,Not Allowed,Recommended,Common Application,,16,26733,29,50684,50684,1604188860,-1,1609459260,-1,op,80,Common Application,y,n,https://pbs.twimg.com/profile_images/1145689641191911427/nC7mekeC_400x400.png,Private,NY,"New York University (NYU) is a private research university based in New York City. Founded in 1831 by Albert Gallatin as an institution to ""admit based upon merit rather than birthright or social class"", NYU's historical campus is in Greenwich Village. NYU is the largest independent research university in the United States. ",https://i.ibb.co/P556dBj/10NYU.jpg
Boston University,Boston University,BU,Required,Required,2,2,Counselor/Teacher,Required,Optional,Optional,Not Allowed,Optional,Common Application,,22,18515,40,56854,56854,1604188860,1604188860,1609459260,-1,op,80,Common Application / Coalition Application,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Boston_University_Terriers_logo.svg/1200px-Boston_University_Terriers_logo.svg.png,Private,MA,"Boston University (BU) is a private research university in Boston, Massachusetts. The university is now nonsectarian, but was originally affiliated with the United Methodist Church.The university has over 3,900 faculty members and nearly 33,000 students, and offers bachelor's degrees, master's degrees, doctorates, and medical, dental, business, and law degrees through 18 schools and colleges on two urban campuses.",https://i.ibb.co/tpNCwTB/11BU.jpg
California State University - Long Beach,CSU Long Beach,CSULB,Not Required,Not Required,0,0,,Required,Optional,Optional,Not Allowed,Optional,none,,31.2,31447,10000,6798,17094,-1,-1,1606694460,-1,none,55,Cal State Apply,n,n,https://collegiatewaterpolo.org/wp-content/uploads/2017/08/Cal-State-Long-Beach-W.png,Public,CA,"California State University, Long Beach (CSULB, Long Beach State, Cal State Long Beach, LBSU, or The Beach) is a public university in Long Beach, California. The 322-acre campus is the third largest[7] of the 23-school California State University system (CSU)[11] and one of the largest universities in the state of California by enrollment.",https://i.ibb.co/SxYJWwr/12CSULB.jpg
Clemson University,Clemson,,Required,Not Required,0,0,,Required,Optional,Optional,Not Allowed,Optional,Common Application,,47,19669,70,15120,38112,-1,-1,1606780860,-1,none,70,Common Application / Clemson Portal,y,n,https://www.pinclipart.com/picdir/big/357-3573593_official-ncaa-clemson-tigers-clemson-tigers-logo-clipart.png,Public,SC,"Clemson University is a public, land-grant research university in Clemson, South Carolina. Founded in 1889, Clemson is the second-largest university in student population in South Carolina. Clemson University is classified among ""R1: Doctoral Universities – Very high research activity.""",https://i.ibb.co/8KzPbv2/13CU.jpg
Case Western Reserve University,Case Western,CWRU,Required,Not Required,3,3,Counselor / Teacher / Teacher,Optional,Optional,Optional,Allowed,Optional,Common Application / Coalition,,33,10677,40,50904,50904,1604188801,1604188860,1610668860,1606780860,op,70,Common Application / Coalition Application,y,y,https://upload.wikimedia.org/wikipedia/en/7/72/Case_Western_Reserve_University_Spartans_logo_mascot.png,Private,OH,"Case Western Reserve University (CWRU) is a private research university in Cleveland, Ohio. It was created in 1967 through the federation of two longstanding contiguous institutions: Western Reserve University, founded in 1826 and named for its location in the Connecticut Western Reserve, and Case Institute of Technology, founded in 1880 through the endowment of Leonard Case, Jr. Time magazine described the merger as the creation of ""Cleveland's Big-Leaguer"" university.

",https://i.ibb.co/Lr12jjG/14CWRU.jpg
Columbia University,Columbia,,Required,Required,2,2,Counselor / Teacher,Required,Required,Optional,Allowed,Optional,1 / 1. Common/Coalition (650),,5.3,6202,3,61850,61850,1604188860,-1,1609459260,-1,y,85,Common Application / Coalition Application,y,y,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fivycoach.com%2Fcontent%2Fuploads%2F2014%2F12%2FColumbia-University-Basketball.png&f=1&nofb=1,Private,NY,"Columbia University  is a private Ivy League research university in New York City. Established in 1754 on the grounds of Trinity Church in Manhattan, Columbia is the oldest institution of higher education in New York and the fifth-oldest institution of higher learning in the United States. It is one of nine colonial colleges founded prior to the Declaration of Independence, seven of which belong to the Ivy League.",https://i.ibb.co/QdVNTfX/15CU.jpg
Rutgers University - New Brunswick,Rutgers,,Required,Required,0,0,na,Required,Required,Optional,Not Allowed,Optional,"1 / 1. Tell a story from your life, describing an experience that either demonstrates your character or helped to shape it. (3800 c) / 2. Describe a time you made a meaningful contribution to others in which the greater good was your focus. Discuss the challenges and rewards of making your contribution. (3800 c) / 3. Has there been a time when you’ve had a long-cherished or accepted belief challenged? How did you respond? How did the challenge affect your beliefs? (3800 c) / 4. What is the hardest part of being a teenager now? What’s the best part? What advice would you give a younger sibling or friend (assuming they would listen to you)? (3800 c) / 5. Submit an essay on the topic of your choice (3800 c)",,60,36039,62,12230,28036,-1,1604188860,1606780860,-1,n,70,Coalition Application  / Rutgers Apply,n,y,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Falphasigmaphi.org%2FWebsites%2Falphasigmaphihq%2Fimages%2FSchool_Logos%2FRutgers_Scarlet_Knights.png&f=1&nofb=1,Public,NJ,"Rutgers was originally chartered as Queen's College on November 10, 1766. It is the eighth-oldest college in the United States and one of the nine colonial colleges chartered before the American Revolution. The college was renamed Rutgers College in 1825 in honor of Colonel Henry Rutgers. For most of its existence, Rutgers was a private liberal arts college but it evolved into a coeducational public research university after being designated ""The State University of New Jersey"" by the New Jersey Legislature in laws enacted in 1945 and 1956.",https://i.ibb.co/pLZNwkV/16RU.jpg
Northern Arizona University,Northern Arizona,NAU,Required,Not Required,0,0,na,Required,Required,Optional,Not Allowed,Optional,na,,80.8,30736,10000,11896,26516,-1,-1,1610668860,-1,n,25,Northern Arizona University Personal Advantage Application,n,n,https://i.pinimg.com/originals/72/05/fd/7205fd42cb59499e0f729df4836cd70f.png,Public,AZ,"Northern Arizona University (NAU) is a public research university with its main campus in Flagstaff, Arizona. Governed by the Arizona Board of Regents and accredited by the Higher Learning Commission, the university offers 158 baccalaureate and graduate degree programs. NAU also participates in the Western Undergraduate Exchange Program, which offers lower tuition rates for students from the Western United States.",https://i.ibb.co/BTLTn8c/17NAU.jpg
San Francisco State University,San Francisco State,SFSU,Not Required,Not Required,0,0,na,Required,Optional,Optional,Not Allowed,Optional,na,,71.8,29586,10000,7270,19140,-1,-1,1606694460,-1,n,70,Cal State Apply,n,n,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/274833/20190414010410_836_mascot1280Near.png,Public,CA,"San Francisco State University (commonly referred to as San Francisco State, SF State and SFSU) is a public university in San Francisco. As part of the 23-campus California State University system, the university offers 118 different bachelor's degrees, 94 master's degrees, and 5 doctoral degrees along with 26 teaching credentials among six academic colleges. The 141 acre campus is located in the southwest part of the city, less than two miles from the Pacific coast.",https://i.ibb.co/HBkXBWP/18SFSU.jpg
University of Connecticut,UConn,UConn,Required,Not Required,0,2,Counselor / Teacher,Optional,Optional,Optional,Not Allowed,Optional,Common Application / Coalition,,48.8,19133,64,14406,37074,-1,-1,1610668860,1606780860,n,80,Common Application / Coalition Application,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Connecticut_Huskies_logo.svg/1200px-Connecticut_Huskies_logo.svg.png,Public,CT,"The University of Connecticut (UConn) is a public research university in Storrs, Connecticut. It was founded in 1881. UConn is one of the founding institutions of the Hartford, Connecticut/Springfield, Massachusetts regional economic and cultural partnership alliance known as New England's Knowledge Corridor. UConn was the second U.S. university invited into Universitas 21, an elite international network of 24 research-intensive universities, who work together to foster global citizenship.
",https://i.ibb.co/mNz9bNp/19UC.jpg
